URL Builder  ::  V4 Company Carvalho & CO,,,,"- Linha A3: modelo dep reenchimento      |.     Em Facebook, utilizar string no campo 'Parâmetro de URL': utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}",,,,,,,,,,,,,,,,,,,,,,,
"Channel
(utm_medium)","Tool
(utm_source)",Squad,Office,Country,Country,Funnel stage,Funnel stage,Goal,Goal,Project Name,Project Name,Type of campaign/channel,Type of campaign/channel,Campo aberto,"Campaign
(utm_campaign)",Posicionamento,Posicionamento,Segmentação,Segmentação,Campo aberto,Conjunto de anúncio (utm_term),Formato,Formato,Campo aberto,Anúncio (utm_content),URL,URL Tagueada
paid,meta,Falcon,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Official Time,oft,Meta - Anúncios que direcionam para um link externo ao Facebook,link,1401,v4-ate_sp_perf_ved_oft_link_1401,Pos. automático ou mais de um posicionamento manual,all,Aberto,abrt,ios18,v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18,Link ad - Single ad: Todos os posicionamentos,linkad,rel_seiko_5_auto_masc_snxs79b1,v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18_linkad_rel_seiko_5_auto_masc_snxs79b1,https://www.lojaofficialtime.com.br/relogio-seiko-5-automatico-masculino-snxs79b1,https://www.lojaofficialtime.com.br/relogio-seiko-5-automatico-masculino-snxs79b1?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_oft_link_1401&utm_term=v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18&utm_content=v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18_linkad_rel_seiko_5_auto_masc_snxs79b1
paid,meta,Falcon,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Official Time,oft,Meta - Anúncios que direcionam para um link externo ao Facebook,link,1401,v4-ate_sp_perf_ved_oft_link_1401,Pos. automático ou mais de um posicionamento manual,all,Aberto,abrt,ios18,v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18,Link ad - Single ad: Todos os posicionamentos,linkad,rel_diesel_cron_masc_dz4692b1,v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18_linkad_rel_diesel_cron_masc_dz4692b1,https://www.lojaofficialtime.com.br/relogio-diesel-cronografo-masculino-dz4692b1,https://www.lojaofficialtime.com.br/relogio-diesel-cronografo-masculino-dz4692b1?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_oft_link_1401&utm_term=v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18&utm_content=v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18_linkad_rel_diesel_cron_masc_dz4692b1
paid,meta,Falcon,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Official Time,oft,Meta - Anúncios que direcionam para um link externo ao Facebook,link,1401,v4-ate_sp_perf_ved_oft_link_1401,Pos. automático ou mais de um posicionamento manual,all,Aberto,abrt,ios18,v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18,Link ad - Single ad: Todos os posicionamentos,linkad,rel_seiko_5_auto_masc_snxs79b3,v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18_linkad_rel_seiko_5_auto_masc_snxs79b3,https://www.lojaofficialtime.com.br/relogio-seiko-5-automatico-masculino-snxs79b3,https://www.lojaofficialtime.com.br/relogio-seiko-5-automatico-masculino-snxs79b3?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_oft_link_1401&utm_term=v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18&utm_content=v4-ate_sp_perf_ved_oft_link_1401_all_abrt_ios18_linkad_rel_seiko_5_auto_masc_snxs79b3
paid,google,Falcon,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Official Time,oft,Performance - Max,max,,v4-ate_sp_perf_ved_oft_max_,Pos. automático ou mais de um posicionamento manual,all,Aberto,abrt,,v4-ate_sp_perf_ved_oft_max__all_abrt_,anúncios pmx,pmax-ad,,v4-ate_sp_perf_ved_oft_max__all_abrt__pmax-ad_,https://www.lojaofficialtime.com.br/,https://www.lojaofficialtime.com.br/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_oft_max_&utm_term=v4-ate_sp_perf_ved_oft_max__all_abrt_&utm_content=v4-ate_sp_perf_ved_oft_max__all_abrt__pmax-ad_
paid,meta,Falcon,v4-ate,Brasil,br,Performance,perf,Venda ,ved,Official Time,oft,Meta - Anúncios que direcionam para um link externo ao Facebook,link,catalogo-br,v4-ate_br_perf_ved_oft_link_catalogo-br,Pos. automático ou mais de um posicionamento manual,all,Mais de um segmento ao mesmo tempo,all,pub-quente,v4-ate_br_perf_ved_oft_link_catalogo-br_all_all_pub-quente,Collection,collection,ad001-catalogo,v4-ate_br_perf_ved_oft_link_catalogo-br_all_all_pub-quente_collection_ad001-catalogo,https://www.lojaofficialtime.com.br/relogios,https://www.lojaofficialtime.com.br/relogios?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_br_perf_ved_oft_link_catalogo-br&utm_term=v4-ate_br_perf_ved_oft_link_catalogo-br_all_all_pub-quente&utm_content=v4-ate_br_perf_ved_oft_link_catalogo-br_all_all_pub-quente_collection_ad001-catalogo
paid,google,Falcon,v4-ate,Brasil,br,Performance,perf,Venda ,ved,Official Time,oft,Search - Anúncio de texto em buscadores,search,protecao_marca,v4-ate_br_perf_ved_oft_search_protecao_marca,Pos. automático ou mais de um posicionamento manual,all,Aberto,abrt,branding,v4-ate_br_perf_ved_oft_search_protecao_marca_all_abrt_branding,anúncios search,srch-ad,pesquisa,v4-ate_br_perf_ved_oft_search_protecao_marca_all_abrt_branding_srch-ad_pesquisa,https://www.lojaofficialtime.com.br/,https://www.lojaofficialtime.com.br/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_br_perf_ved_oft_search_protecao_marca&utm_term=v4-ate_br_perf_ved_oft_search_protecao_marca_all_abrt_branding&utm_content=v4-ate_br_perf_ved_oft_search_protecao_marca_all_abrt_branding_srch-ad_pesquisa
paid,google,Falcon,v4-ate,Brasil,br,Performance,perf,Venda ,ved,Official Time,oft,Google Shopping,google-Shop,br,v4-ate_br_perf_ved_oft_google-Shop_br,Pos. automático ou mais de um posicionamento manual,all,Aberto,abrt,catalogo,v4-ate_br_perf_ved_oft_google-Shop_br_all_abrt_catalogo,SiteLinks,stlk,cat,v4-ate_br_perf_ved_oft_google-Shop_br_all_abrt_catalogo_stlk_cat,https://www.lojaofficialtime.com.br/,https://www.lojaofficialtime.com.br/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_br_perf_ved_oft_google-Shop_br&utm_term=v4-ate_br_perf_ved_oft_google-Shop_br_all_abrt_catalogo&utm_content=v4-ate_br_perf_ved_oft_google-Shop_br_all_abrt_catalogo_stlk_cat
paid,meta,Falcon,v4-ate,Brasil,br,Performance,perf,Venda ,ved,Official Time,oft,Meta - Anúncios que direcionam para um link externo ao Facebook,link,promocao,v4-ate_br_perf_ved_oft_link_promocao,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,im,v4-ate_br_perf_ved_oft_link_promocao_all_int_im,Post orgânico,post-organico,ad01-tns-fem,v4-ate_br_perf_ved_oft_link_promocao_all_int_im_post-organico_ad01-tns-fem,,?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_br_perf_ved_oft_link_promocao&utm_term=v4-ate_br_perf_ved_oft_link_promocao_all_int_im&utm_content=v4-ate_br_perf_ved_oft_link_promocao_all_int_im_post-organico_ad01-tns-fem
paid,google,Falcon,v4-ate,Brasil,br,Performance,perf,Venda ,ved,Official Time,oft,Search - Anúncio de texto em buscadores,search,br,v4-ate_br_perf_ved_oft_search_br,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_br_perf_ved_oft_search_br_all_kw_,SiteLinks,stlk,ad01-tns-masc,v4-ate_br_perf_ved_oft_search_br_all_kw__stlk_ad01-tns-masc,https://www.lismagazine.com.br/masculino/tenis1/,https://www.lismagazine.com.br/masculino/tenis1/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_br_perf_ved_oft_search_br&utm_term=v4-ate_br_perf_ved_oft_search_br_all_kw_&utm_content=v4-ate_br_perf_ved_oft_search_br_all_kw__stlk_ad01-tns-masc
paid,google,Falcon,v4-ate,Brasil,br,Performance,perf,Venda ,ved,Official Time,oft,Meta - Anúncios que direcionam para um link externo ao Facebook,link,select,v4-ate_br_perf_ved_oft_link_select,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,im ,v4-ate_br_perf_ved_oft_link_select_all_int_im ,Post orgânico,post-organico,im,v4-ate_br_perf_ved_oft_link_select_all_int_im _post-organico_im,https://www.lojaofficialtime.com.br/,https://www.lojaofficialtime.com.br/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_br_perf_ved_oft_link_select&utm_term=v4-ate_br_perf_ved_oft_link_select_all_int_im &utm_content=v4-ate_br_perf_ved_oft_link_select_all_int_im _post-organico_im
