,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,utm_campaign,,,,,,,,,,,,utm_term,,,,,,utm_content
"Channel
(utm_medium)","Tool
(utm_source)",,Squad,Office,Country,Country,Funnel stage,Funnel stage,Goal,Goal,Project Name,Project Name,Type of campaign/channel,Type of campaign/channel,,Segmento,Segmento,Posicionamento,Posicionamento,,Formato,Formato
paid,google,,Falcon,v4-fal,Brasil,br,Awareness,awar,Alcance,alc,Josapar ,josapar,Display - Banners em sites,display,,Interesses,int,Apenas Facebook,fb,,Link ad - Single ad: Todos os posicionamentos,linkad
organic,bing,,Atena,v4-ate,acre,ac,Consideração,cons,Views,viw,Tio João ,tio-joao,Search - Anúncio de texto em buscadores,search,,Look alike / Público semelhante,lal,Apenas Instagram,ig,,Carrossel,carrossel
,meta,,Grandes contas,v4-web,alagoas,al,Performance,perf,Tráfego,tra,Suprasoy ,suprasoy,Meta - Anúncios que direcionam para um link externo ao Facebook,link,,Listas de clientes,lis,Apenas Stories,sto,,Apenas Stories,stories
,pinterest,,Thunder,v4-thu,amapa,ap,,,Envolvimento,env,RGC ,rgc,Meta - Anúncios para captura de leads no form nativo,fb-leadad,,Mais de um segmento ao mesmo tempo,all,Apenas Feed,fd,,Vídeo +30'',video-+30
,influencer,,,,amazonas,am,,,Cadastro ,cad,Lunelli ,lunelli,Meta - Impulsionamento de posts orgânicos,post,,Remarketing,rmkt,Apenas grupos do Facebook,gp,,Vídeo 30'',video-30
,uol,,,,bahia,ba,,,Lead - Eventos e webinários,led,Lunelli Hangar 33,lunelli-hangar-33,Youtube - Anúncios no youtube,youtube,,Palavra chave,kw,Pos. automático ou mais de um posicionamento manual,all,,Vídeo 15'',video-15
,linkedin,,,,ceara,ce,,,Venda ,ved,Lunelli Lez a Lez,lunelli-lez-a-lez,Google Discovery,discovery,,Tópico,top,Youtube Bumper,yt-bp,,Vídeo 10'',video-10
,exame,,,,distrito-federal,df,,,Instalação do App,aci,Leitão Pork Chopp,leitao-pork-chopp,Anúncios na TV,tv,,In Market - Público que planeja ativamente ou passa por eventos importantes,in-mkt,Youtube Trueview For Action,yt-fa,,Vídeo 5'',video-5
,omelete,,,,espirito-santo,es,,,Engajamento com o App,ace,InPower,inpower,Anúncios em portais,portal,,Engajamento orgânico - Com publicações ou com páginas em redes sociais,eng,Youtube Trueview,yt-tv,,Anúncio dinâmico,dinamico
